doi,title,abstract,included,decision_source,final_verdict,landing_url,pdf_url,year,source_anchor,source_term,metadata_json,arxiv_id,openalex_id
10.48550/arxiv.2107.03175,A Survey on Dialogue Summarization: Recent Advances and New Frontiers,"Dialogue summarization aims to condense the original dialogue into a shorter version covering salient information, which is a crucial way to reduce dialogue data overload. Recently, the promising achievements in both dialogue systems and natural language generation techniques drastically lead this task to a new landscape, which results in significant research attentions. However, there still remains a lack of a comprehensive survey for this task. To this end, we take the first step and present a thorough review of this research field carefully and widely. In detail, we systematically organize the current works according to the characteristics of each domain, covering meeting, chat, email thread, customer service and medical dialogue. Additionally, we provide an overview of publicly available research datasets as well as organize two leaderboards under unified metrics. Furthermore, we discuss some future directions, including faithfulness, multi-modal, multi-domain and multi-lingual dialogue summarization, and give our thoughts respectively. We hope that this first survey of dialogue summarization can provide the community with a quick access and a general picture to this task and motivate future researches.",1,,include (seed_filter),https://arxiv.org/abs/2107.03175v2,https://arxiv.org/pdf/2107.03175v2,2021,dialogue summarization,sequence to sequence,"{""arxiv_id"": ""2107.03175"", ""title"": ""A Survey on Dialogue Summarization: Recent Advances and New Frontiers"", ""summary"": ""Dialogue summarization aims to condense the original dialogue into a shorter version covering salient information, which is a crucial way to reduce dialogue data overload. Recently, the promising achievements in both dialogue systems and natural language generation techniques drastically lead this task to a new landscape, which results in significant research attentions. However, there still remains a lack of a comprehensive survey for this task. To this end, we take the first step and present a thorough review of this research field carefully and widely. In detail, we systematically organize the current works according to the characteristics of each domain, covering meeting, chat, email thread, customer service and medical dialogue. Additionally, we provide an overview of publicly available research datasets as well as organize two leaderboards under unified metrics. Furthermore, we discuss some future directions, including faithfulness, multi-modal, multi-domain and multi-lingual dialogue summarization, and give our thoughts respectively. We hope that this first survey of dialogue summarization can provide the community with a quick access and a general picture to this task and motivate future researches."", ""authors"": [""Xiachong Feng"", ""Xiaocheng Feng"", ""Bing Qin""], ""published"": ""2021-07-07T12:11:14Z"", ""updated"": ""2022-04-28T03:04:38Z"", ""categories"": [""cs.CL""], ""pdf_url"": ""https://arxiv.org/pdf/2107.03175v2"", ""landing_url"": ""https://arxiv.org/abs/2107.03175v2"", ""doi"": ""https://doi.org/10.48550/arXiv.2107.03175""}",2107.03175,https://openalex.org/W4304208854
10.48550/arxiv.2208.04163,Abstractive Meeting Summarization: A Survey,"A system that could reliably identify and sum up the most important points of a conversation would be valuable in a wide variety of real-world contexts, from business meetings to medical consultations to customer service calls. Recent advances in deep learning, and especially the invention of encoder-decoder architectures, has significantly improved language generation systems, opening the door to improved forms of abstractive summarization, a form of summarization particularly well-suited for multi-party conversation. In this paper, we provide an overview of the challenges raised by the task of abstractive meeting summarization and of the data sets, models and evaluation metrics that have been used to tackle the problems.",1,,include (seed_filter),https://arxiv.org/abs/2208.04163v2,https://arxiv.org/pdf/2208.04163v2,2022,dialogue summarization,meeting summarization,"{""arxiv_id"": ""2208.04163"", ""title"": ""Abstractive Meeting Summarization: A Survey"", ""summary"": ""A system that could reliably identify and sum up the most important points of a conversation would be valuable in a wide variety of real-world contexts, from business meetings to medical consultations to customer service calls. Recent advances in deep learning, and especially the invention of encoder-decoder architectures, has significantly improved language generation systems, opening the door to improved forms of abstractive summarization, a form of summarization particularly well-suited for multi-party conversation. In this paper, we provide an overview of the challenges raised by the task of abstractive meeting summarization and of the data sets, models and evaluation metrics that have been used to tackle the problems."", ""authors"": [""Virgile Rennard"", ""Guokan Shang"", ""Julie Hunter"", ""Michalis Vazirgiannis""], ""published"": ""2022-08-08T14:04:38Z"", ""updated"": ""2023-04-25T10:49:51Z"", ""categories"": [""cs.CL""], ""pdf_url"": ""https://arxiv.org/pdf/2208.04163v2"", ""landing_url"": ""https://arxiv.org/abs/2208.04163v2"", ""doi"": ""https://doi.org/10.48550/arXiv.2208.04163""}",2208.04163,https://openalex.org/W4299548139
10.48550/arxiv.2210.09894,"Taxonomy of Abstractive Dialogue Summarization: Scenarios, Approaches and Future Directions","Abstractive dialogue summarization is to generate a concise and fluent summary covering the salient information in a dialogue among two or more interlocutors. It has attracted great attention in recent years based on the massive emergence of social communication platforms and an urgent requirement for efficient dialogue information understanding and digestion. Different from news or articles in traditional document summarization, dialogues bring unique characteristics and additional challenges, including different language styles and formats, scattered information, flexible discourse structures and unclear topic boundaries. This survey provides a comprehensive investigation on existing work for abstractive dialogue summarization from scenarios, approaches to evaluations. It categorizes the task into two broad categories according to the type of input dialogues, i.e., open-domain and task-oriented, and presents a taxonomy of existing techniques in three directions, namely, injecting dialogue features, designing auxiliary training tasks and using additional data.A list of datasets under different scenarios and widely-accepted evaluation metrics are summarized for completeness. After that, the trends of scenarios and techniques are summarized, together with deep insights on correlations between extensively exploited features and different scenarios. Based on these analyses, we recommend future directions including more controlled and complicated scenarios, technical innovations and comparisons, publicly available datasets in special domains, etc.",1,,include (seed_filter),https://arxiv.org/abs/2210.09894v2,https://arxiv.org/pdf/2210.09894v2,2022,dialogue summarization,sequence to sequence,"{""arxiv_id"": ""2210.09894"", ""title"": ""Taxonomy of Abstractive Dialogue Summarization: Scenarios, Approaches and Future Directions"", ""summary"": ""Abstractive dialogue summarization is to generate a concise and fluent summary covering the salient information in a dialogue among two or more interlocutors. It has attracted great attention in recent years based on the massive emergence of social communication platforms and an urgent requirement for efficient dialogue information understanding and digestion. Different from news or articles in traditional document summarization, dialogues bring unique characteristics and additional challenges, including different language styles and formats, scattered information, flexible discourse structures and unclear topic boundaries. This survey provides a comprehensive investigation on existing work for abstractive dialogue summarization from scenarios, approaches to evaluations. It categorizes the task into two broad categories according to the type of input dialogues, i.e., open-domain and task-oriented, and presents a taxonomy of existing techniques in three directions, namely, injecting dialogue features, designing auxiliary training tasks and using additional data.A list of datasets under different scenarios and widely-accepted evaluation metrics are summarized for completeness. After that, the trends of scenarios and techniques are summarized, together with deep insights on correlations between extensively exploited features and different scenarios. Based on these analyses, we recommend future directions including more controlled and complicated scenarios, technical innovations and comparisons, publicly available datasets in special domains, etc."", ""authors"": [""Qi Jia"", ""Yizhu Liu"", ""Siyu Ren"", ""Kenny Q. Zhu""], ""published"": ""2022-10-18T14:33:03Z"", ""updated"": ""2023-08-06T06:02:06Z"", ""categories"": [""cs.CL""], ""pdf_url"": ""https://arxiv.org/pdf/2210.09894v2"", ""landing_url"": ""https://arxiv.org/abs/2210.09894v2"", ""doi"": ""https://doi.org/10.48550/arXiv.2210.09894""}",2210.09894,https://openalex.org/W4306893387
10.48550/arxiv.2212.08206,Meeting Summarization: A Survey of the State of the Art,"Information overloading requires the need for summarizers to extract salient information from the text. Currently, there is an overload of dialogue data due to the rise of virtual communication platforms. The rise of Covid-19 has led people to rely on online communication platforms like Zoom, Slack, Microsoft Teams, Discord, etc. to conduct their company meetings. Instead of going through the entire meeting transcripts, people can use meeting summarizers to select useful data. Nevertheless, there is a lack of comprehensive surveys in the field of meeting summarizers. In this survey, we aim to cover recent meeting summarization techniques. Our survey offers a general overview of text summarization along with datasets and evaluation metrics for meeting summarization. We also provide the performance of each summarizer on a leaderboard. We conclude our survey with different challenges in this domain and potential research opportunities for future researchers.",1,,include (seed_filter),https://arxiv.org/abs/2212.08206v1,https://arxiv.org/pdf/2212.08206v1,2022,dialogue summarization,meeting summarization,"{""arxiv_id"": ""2212.08206"", ""title"": ""Meeting Summarization: A Survey of the State of the Art"", ""summary"": ""Information overloading requires the need for summarizers to extract salient information from the text. Currently, there is an overload of dialogue data due to the rise of virtual communication platforms. The rise of Covid-19 has led people to rely on online communication platforms like Zoom, Slack, Microsoft Teams, Discord, etc. to conduct their company meetings. Instead of going through the entire meeting transcripts, people can use meeting summarizers to select useful data. Nevertheless, there is a lack of comprehensive surveys in the field of meeting summarizers. In this survey, we aim to cover recent meeting summarization techniques. Our survey offers a general overview of text summarization along with datasets and evaluation metrics for meeting summarization. We also provide the performance of each summarizer on a leaderboard. We conclude our survey with different challenges in this domain and potential research opportunities for future researchers."", ""authors"": [""Lakshmi Prasanna Kumar"", ""Arman Kabiri""], ""published"": ""2022-12-16T00:21:30Z"", ""updated"": ""2022-12-16T00:21:30Z"", ""categories"": [""cs.CL""], ""pdf_url"": ""https://arxiv.org/pdf/2212.08206v1"", ""landing_url"": ""https://arxiv.org/abs/2212.08206v1"", ""doi"": ""https://doi.org/10.48550/arXiv.2212.08206""}",2212.08206,https://openalex.org/W4311991923
10.48550/arxiv.2106.08556,Coreference-Aware Dialogue Summarization,"Summarizing conversations via neural approaches has been gaining research traction lately, yet it is still challenging to obtain practical solutions. Examples of such challenges include unstructured information exchange in dialogues, informal interactions between speakers, and dynamic role changes of speakers as the dialogue evolves. Many of such challenges result in complex coreference links. Therefore, in this work, we investigate different approaches to explicitly incorporate coreference information in neural abstractive dialogue summarization models to tackle the aforementioned challenges. Experimental results show that the proposed approaches achieve state-of-the-art performance, implying it is useful to utilize coreference information in dialogue summarization. Evaluation results on factual correctness suggest such coreference-aware models are better at tracing the information flow among interlocutors and associating accurate status/actions with the corresponding interlocutors and person mentions.",1,,include (junior:5),https://arxiv.org/abs/2106.08556v2,https://arxiv.org/pdf/2106.08556v2,2021,dialogue summarization,sequence to sequence,"{""arxiv_id"": ""2106.08556"", ""title"": ""Coreference-Aware Dialogue Summarization"", ""summary"": ""Summarizing conversations via neural approaches has been gaining research traction lately, yet it is still challenging to obtain practical solutions. Examples of such challenges include unstructured information exchange in dialogues, informal interactions between speakers, and dynamic role changes of speakers as the dialogue evolves. Many of such challenges result in complex coreference links. Therefore, in this work, we investigate different approaches to explicitly incorporate coreference information in neural abstractive dialogue summarization models to tackle the aforementioned challenges. Experimental results show that the proposed approaches achieve state-of-the-art performance, implying it is useful to utilize coreference information in dialogue summarization. Evaluation results on factual correctness suggest such coreference-aware models are better at tracing the information flow among interlocutors and associating accurate status/actions with the corresponding interlocutors and person mentions."", ""authors"": [""Zhengyuan Liu"", ""Ke Shi"", ""Nancy F. Chen""], ""published"": ""2021-06-16T05:18:50Z"", ""updated"": ""2021-09-14T11:38:28Z"", ""categories"": [""cs.CL"", ""cs.AI""], ""pdf_url"": ""https://arxiv.org/pdf/2106.08556v2"", ""landing_url"": ""https://arxiv.org/abs/2106.08556v2"", ""doi"": ""https://doi.org/10.48550/arXiv.2106.08556""}",2106.08556,https://openalex.org/W3169117666
10.48550/arxiv.2108.13139,CSDS: A Fine-Grained Chinese Dataset for Customer Service Dialogue Summarization,"Dialogue summarization has drawn much attention recently. Especially in the customer service domain, agents could use dialogue summaries to help boost their works by quickly knowing customer's issues and service progress. These applications require summaries to contain the perspective of a single speaker and have a clear topic flow structure, while neither are available in existing datasets. Therefore, in this paper, we introduce a novel Chinese dataset for Customer Service Dialogue Summarization (CSDS). CSDS improves the abstractive summaries in two aspects: (1) In addition to the overall summary for the whole dialogue, role-oriented summaries are also provided to acquire different speakers' viewpoints. (2) All the summaries sum up each topic separately, thus containing the topic-level structure of the dialogue. We define tasks in CSDS as generating the overall summary and different role-oriented summaries for a given dialogue. Next, we compare various summarization methods on CSDS, and experiment results show that existing methods are prone to generate redundant and incoherent summaries. Besides, the performance becomes much worse when analyzing the performance on role-oriented summaries and topic structures. We hope that this study could benchmark Chinese dialogue summarization and benefit further studies.",1,,include (junior:4),https://arxiv.org/abs/2108.13139v2,https://arxiv.org/pdf/2108.13139v2,2021,dialogue summarization,sequence to sequence,"{""arxiv_id"": ""2108.13139"", ""title"": ""CSDS: A Fine-Grained Chinese Dataset for Customer Service Dialogue Summarization"", ""summary"": ""Dialogue summarization has drawn much attention recently. Especially in the customer service domain, agents could use dialogue summaries to help boost their works by quickly knowing customer's issues and service progress. These applications require summaries to contain the perspective of a single speaker and have a clear topic flow structure, while neither are available in existing datasets. Therefore, in this paper, we introduce a novel Chinese dataset for Customer Service Dialogue Summarization (CSDS). CSDS improves the abstractive summaries in two aspects: (1) In addition to the overall summary for the whole dialogue, role-oriented summaries are also provided to acquire different speakers' viewpoints. (2) All the summaries sum up each topic separately, thus containing the topic-level structure of the dialogue. We define tasks in CSDS as generating the overall summary and different role-oriented summaries for a given dialogue. Next, we compare various summarization methods on CSDS, and experiment results show that existing methods are prone to generate redundant and incoherent summaries. Besides, the performance becomes much worse when analyzing the performance on role-oriented summaries and topic structures. We hope that this study could benchmark Chinese dialogue summarization and benefit further studies."", ""authors"": [""Haitao Lin"", ""Liqun Ma"", ""Junnan Zhu"", ""Lu Xiang"", ""Yu Zhou"", ""Jiajun Zhang"", ""Chengqing Zong""], ""published"": ""2021-08-30T11:56:58Z"", ""updated"": ""2021-09-06T06:39:19Z"", ""categories"": [""cs.CL""], ""pdf_url"": ""https://arxiv.org/pdf/2108.13139v2"", ""landing_url"": ""https://arxiv.org/abs/2108.13139v2"", ""doi"": ""https://doi.org/10.48550/arXiv.2108.13139""}",2108.13139,https://openalex.org/W3212198963
10.48550/arxiv.2109.04609,An Exploratory Study on Long Dialogue Summarization: What Works and What's Next,"Dialogue summarization helps readers capture salient information from long conversations in meetings, interviews, and TV series. However, real-world dialogues pose a great challenge to current summarization models, as the dialogue length typically exceeds the input limits imposed by recent transformer-based pre-trained models, and the interactive nature of dialogues makes relevant information more context-dependent and sparsely distributed than news articles. In this work, we perform a comprehensive study on long dialogue summarization by investigating three strategies to deal with the lengthy input problem and locate relevant information: (1) extended transformer models such as Longformer, (2) retrieve-then-summarize pipeline models with several dialogue utterance retrieval methods, and (3) hierarchical dialogue encoding models such as HMNet. Our experimental results on three long dialogue datasets (QMSum, MediaSum, SummScreen) show that the retrieve-then-summarize pipeline models yield the best performance. We also demonstrate that the summary quality can be further improved with a stronger retrieval model and pretraining on proper external summarization datasets.",1,,include (junior:5),https://arxiv.org/abs/2109.04609v1,https://arxiv.org/pdf/2109.04609v1,2021,dialogue summarization,sequence to sequence,"{""arxiv_id"": ""2109.04609"", ""title"": ""An Exploratory Study on Long Dialogue Summarization: What Works and What's Next"", ""summary"": ""Dialogue summarization helps readers capture salient information from long conversations in meetings, interviews, and TV series. However, real-world dialogues pose a great challenge to current summarization models, as the dialogue length typically exceeds the input limits imposed by recent transformer-based pre-trained models, and the interactive nature of dialogues makes relevant information more context-dependent and sparsely distributed than news articles. In this work, we perform a comprehensive study on long dialogue summarization by investigating three strategies to deal with the lengthy input problem and locate relevant information: (1) extended transformer models such as Longformer, (2) retrieve-then-summarize pipeline models with several dialogue utterance retrieval methods, and (3) hierarchical dialogue encoding models such as HMNet. Our experimental results on three long dialogue datasets (QMSum, MediaSum, SummScreen) show that the retrieve-then-summarize pipeline models yield the best performance. We also demonstrate that the summary quality can be further improved with a stronger retrieval model and pretraining on proper external summarization datasets."", ""authors"": [""Yusen Zhang"", ""Ansong Ni"", ""Tao Yu"", ""Rui Zhang"", ""Chenguang Zhu"", ""Budhaditya Deb"", ""Asli Celikyilmaz"", ""Ahmed Hassan Awadallah"", ""Dragomir Radev""], ""published"": ""2021-09-10T01:38:26Z"", ""updated"": ""2021-09-10T01:38:26Z"", ""categories"": [""cs.CL""], ""pdf_url"": ""https://arxiv.org/pdf/2109.04609v1"", ""landing_url"": ""https://arxiv.org/abs/2109.04609v1"", ""doi"": ""https://doi.org/10.48550/arXiv.2109.04609""}",2109.04609,https://openalex.org/W3199557213
10.48550/arxiv.2109.08232,A Bag of Tricks for Dialogue Summarization,"Dialogue summarization comes with its own peculiar challenges as opposed to news or scientific articles summarization. In this work, we explore four different challenges of the task: handling and differentiating parts of the dialogue belonging to multiple speakers, negation understanding, reasoning about the situation, and informal language understanding. Using a pretrained sequence-to-sequence language model, we explore speaker name substitution, negation scope highlighting, multi-task learning with relevant tasks, and pretraining on in-domain data. Our experiments show that our proposed techniques indeed improve summarization performance, outperforming strong baselines.",1,,include (junior:5),https://arxiv.org/abs/2109.08232v1,https://arxiv.org/pdf/2109.08232v1,2021,dialogue summarization,sequence to sequence,"{""arxiv_id"": ""2109.08232"", ""title"": ""A Bag of Tricks for Dialogue Summarization"", ""summary"": ""Dialogue summarization comes with its own peculiar challenges as opposed to news or scientific articles summarization. In this work, we explore four different challenges of the task: handling and differentiating parts of the dialogue belonging to multiple speakers, negation understanding, reasoning about the situation, and informal language understanding. Using a pretrained sequence-to-sequence language model, we explore speaker name substitution, negation scope highlighting, multi-task learning with relevant tasks, and pretraining on in-domain data. Our experiments show that our proposed techniques indeed improve summarization performance, outperforming strong baselines."", ""authors"": [""Muhammad Khalifa"", ""Miguel Ballesteros"", ""Kathleen McKeown""], ""published"": ""2021-09-16T21:32:02Z"", ""updated"": ""2021-09-16T21:32:02Z"", ""categories"": [""cs.CL""], ""pdf_url"": ""https://arxiv.org/pdf/2109.08232v1"", ""landing_url"": ""https://arxiv.org/abs/2109.08232v1"", ""doi"": ""https://doi.org/10.48550/arXiv.2109.08232""}",2109.08232,https://openalex.org/W3199944664
10.48550/arxiv.2111.03284,Dialogue Inspectional Summarization with Factual Inconsistency Awareness,"Dialogue summarization has been extensively studied and applied, where the prior works mainly focused on exploring superior model structures to align the input dialogue and the output summary. However, for professional dialogues (e.g., legal debate and medical diagnosis), semantic/statistical alignment can hardly fill the logical/factual gap between input dialogue discourse and summary output with external knowledge. In this paper, we mainly investigate the factual inconsistency problem for Dialogue Inspectional Summarization (DIS) under non-pretraining and pretraining settings. An innovative end-to-end dialogue summary generation framework is proposed with two auxiliary tasks: Expectant Factual Aspect Regularization (EFAR) and Missing Factual Entity Discrimination (MFED). Comprehensive experiments demonstrate that the proposed model can generate a more readable summary with accurate coverage of factual aspects as well as informing the user with potential missing facts detected from the input dialogue for further human intervention.",1,,include (junior:4),https://arxiv.org/abs/2111.03284v1,https://arxiv.org/pdf/2111.03284v1,2021,dialogue summarization,qmsum,"{""arxiv_id"": ""2111.03284"", ""title"": ""Dialogue Inspectional Summarization with Factual Inconsistency Awareness"", ""summary"": ""Dialogue summarization has been extensively studied and applied, where the prior works mainly focused on exploring superior model structures to align the input dialogue and the output summary. However, for professional dialogues (e.g., legal debate and medical diagnosis), semantic/statistical alignment can hardly fill the logical/factual gap between input dialogue discourse and summary output with external knowledge. In this paper, we mainly investigate the factual inconsistency problem for Dialogue Inspectional Summarization (DIS) under non-pretraining and pretraining settings. An innovative end-to-end dialogue summary generation framework is proposed with two auxiliary tasks: Expectant Factual Aspect Regularization (EFAR) and Missing Factual Entity Discrimination (MFED). Comprehensive experiments demonstrate that the proposed model can generate a more readable summary with accurate coverage of factual aspects as well as informing the user with potential missing facts detected from the input dialogue for further human intervention."", ""authors"": [""Leilei Gan"", ""Yating Zhang"", ""Kun Kuang"", ""Lin Yuan"", ""Shuo Li"", ""Changlong Sun"", ""Xiaozhong Liu"", ""Fei Wu""], ""published"": ""2021-11-05T06:26:22Z"", ""updated"": ""2021-11-05T06:26:22Z"", ""categories"": [""cs.CL"", ""cs.AI""], ""pdf_url"": ""https://arxiv.org/pdf/2111.03284v1"", ""landing_url"": ""https://arxiv.org/abs/2111.03284v1"", ""doi"": ""https://doi.org/10.48550/arXiv.2111.03284""}",2111.03284,https://openalex.org/W3214528656
10.18653/v1/2022.naacl-main.415,CONFIT: Toward Faithful Dialogue Summarization with Linguistically-Informed Contrastive Fine-tuning,"Factual inconsistencies in generated summaries severely limit the practical applications of abstractive dialogue summarization. Although significant progress has been achieved by using pre-trained models, substantial amounts of hallucinated content are found during the human evaluation. Pre-trained models are most commonly fine-tuned with cross-entropy loss for text summarization, which may not be an optimal strategy. In this work, we provide a typology of factual errors with annotation data to highlight the types of errors and move away from a binary understanding of factuality. We further propose a training strategy that improves the factual consistency and overall quality of summaries via a novel contrastive fine-tuning, called ConFiT. Based on our linguistically-informed typology of errors, we design different modular objectives that each target a specific type. Specifically, we utilize hard negative samples with errors to reduce the generation of factual inconsistency. In order to capture the key information between speakers, we also design a dialogue-specific loss. Using human evaluation and automatic faithfulness metrics, we show that our model significantly reduces all kinds of factual errors on the dialogue summarization, SAMSum corpus. Moreover, our model could be generalized to the meeting summarization, AMI corpus, and it produces significantly higher scores than most of the baselines on both datasets regarding word-overlap metrics.",1,,include (junior:5),https://arxiv.org/abs/2112.08713v2,https://arxiv.org/pdf/2112.08713v2,2021,dialogue summarization,sequence to sequence,"{""arxiv_id"": ""2112.08713"", ""title"": ""CONFIT: Toward Faithful Dialogue Summarization with Linguistically-Informed Contrastive Fine-tuning"", ""summary"": ""Factual inconsistencies in generated summaries severely limit the practical applications of abstractive dialogue summarization. Although significant progress has been achieved by using pre-trained models, substantial amounts of hallucinated content are found during the human evaluation. Pre-trained models are most commonly fine-tuned with cross-entropy loss for text summarization, which may not be an optimal strategy. In this work, we provide a typology of factual errors with annotation data to highlight the types of errors and move away from a binary understanding of factuality. We further propose a training strategy that improves the factual consistency and overall quality of summaries via a novel contrastive fine-tuning, called ConFiT. Based on our linguistically-informed typology of errors, we design different modular objectives that each target a specific type. Specifically, we utilize hard negative samples with errors to reduce the generation of factual inconsistency. In order to capture the key information between speakers, we also design a dialogue-specific loss. Using human evaluation and automatic faithfulness metrics, we show that our model significantly reduces all kinds of factual errors on the dialogue summarization, SAMSum corpus. Moreover, our model could be generalized to the meeting summarization, AMI corpus, and it produces significantly higher scores than most of the baselines on both datasets regarding word-overlap metrics."", ""authors"": [""Xiangru Tang"", ""Arjun Nair"", ""Borui Wang"", ""Bingyao Wang"", ""Jai Desai"", ""Aaron Wade"", ""Haoran Li"", ""Asli Celikyilmaz"", ""Yashar Mehdad"", ""Dragomir Radev""], ""published"": ""2021-12-16T09:08:40Z"", ""updated"": ""2022-07-09T04:21:33Z"", ""categories"": [""cs.CL""], ""pdf_url"": ""https://arxiv.org/pdf/2112.08713v2"", ""landing_url"": ""https://arxiv.org/abs/2112.08713v2"", ""doi"": ""https://doi.org/10.18653/v1/2022.naacl-main.415""}",2112.08713,https://openalex.org/W4287887652
